var,total,issue_count,issue_pct,var_alias,var_cat,color
windows_doors.window_repaint,185,53,28.65,Windows/doors: Repainting needed,Windows/doors,#377eb8
exterior.ext_repaint,185,52,28.11,Exterior: Repainting needed,Exterior,#1b9e77
stairs_repaint,185,47,25.41,Stairs: Repainting needed,Stairs,#e6ab02
exterior.ext_cracked,185,43,23.24,Exterior: Cracked/minor dry rot,Exterior,#1b9e77
found_cracked,185,40,21.62,Foundation: Cracked,Foundation,#ff7f00
lot_assess.lot_missingcover,185,36,19.46,Lot: Missing ground cover,Lot,#984ea3
windows_doors.window_crackedpanes,185,36,19.46,Windows/doors: Cracked panes,Windows/doors,#377eb8
roofing.roof_shingles,185,34,18.38,Roof: Cracked/peeling shingles,Roof,#4daf4a
stairs_cracked,185,29,15.68,Stairs: Cracked/minor repairs needed,Stairs,#e6ab02
lot_assess.lot_weeds,185,23,12.43,Lot: Lawn overgrown/weeds,Lot,#984ea3
lot_assess.lot_junk,185,21,11.35,Lot: Major cleanup/junk in yard,Lot,#984ea3
roofing.roof_gutters,185,21,11.35,Roof: Gutters need repair,Roof,#4daf4a
exterior.ext_needs_replace,185,20,10.81,Exterior: Needs replacement,Exterior,#1b9e77
found_partreplace,185,20,10.81,Foundation: Partial replacement,Foundation,#ff7f00
stairs_majorrepair,185,16,8.65,Stairs: Major repair needed,Stairs,#e6ab02
windows_doors.window_minreplace,185,16,8.65,Windows/doors: Replace 1-3 windows,Windows/doors,#377eb8
roofing.roof_newstructure,185,14,7.57,Roof: New roofing structure needed,Roof,#4daf4a
roofing.roof_reroof_tot,185,13,7.03,Roof: Total re-roofing needed,Roof,#4daf4a
roofing.roof_reroof_part,185,12,6.49,Roof: Partial re-roofing needed,Roof,#4daf4a
lot_assess.lot_trees,185,11,5.95,Lot: Dead/hazardous trees,Lot,#984ea3
lot_assess.lot_porchstorage,185,10,5.41,Lot: Porch used as storage,Lot,#984ea3
found_compreplace,185,9,4.86,Foundation: Complete replacement,Foundation,#ff7f00
lot_assess.lot_inop_vehicle,185,9,4.86,Lot: Inoperable vehicle in yard,Lot,#984ea3
windows_doors.window_majreplace,185,9,4.86,Windows/doors: Replace >3 windows,Windows/doors,#377eb8
exterior.ext_nosiding,185,5,2.7,Exterior: Missing/no siding,Exterior,#1b9e77
exterior.ext_chimney,185,4,2.16,Exterior: Chimney needs repair,Exterior,#1b9e77
lot_assess.lot_graffiti,185,1,0.54,Lot: Graffiti on house/property,Lot,#984ea3
