var,var_alias,var_cat
exterior.ext_repaint,Exterior: Repainting needed,Exterior
exterior.ext_cracked,Exterior: Cracked/minor dry rot,Exterior
exterior.ext_needs_replace,Exterior: Needs replacement,Exterior
exterior.ext_chimney,Exterior: Chimney needs repair,Exterior
exterior.ext_nosiding,Exterior: Missing/no siding,Exterior
windows_doors.window_repaint,Windows/doors: Repainting needed,Windows/doors
windows_doors.window_crackedpanes,Windows/doors: Cracked panes,Windows/doors
windows_doors.window_minreplace,Windows/doors: Replace 1-3 windows,Windows/doors
windows_doors.window_majreplace,Windows/doors: Replace >3 windows,Windows/doors
roofing.roof_gutters,Roof: Gutters need repair,Roof
roofing.roof_shingles,Roof: Cracked/peeling shingles,Roof
roofing.roof_reroof_part,Roof: Partial re-roofing needed,Roof
roofing.roof_reroof_tot,Roof: Total re-roofing needed,Roof
roofing.roof_newstructure,Roof: New roofing structure needed,Roof
lot_assess.lot_weeds,Lot: Lawn overgrown/weeds,Lot
lot_assess.lot_missingcover,Lot: Missing ground cover,Lot
lot_assess.lot_trees,Lot: Dead/hazardous trees,Lot
lot_assess.lot_inop_vehicle,Lot: Inoperable vehicle in yard,Lot
lot_assess.lot_junk,Lot: Major cleanup/junk in yard,Lot
lot_assess.lot_porchstorage,Lot: Porch used as storage,Lot
lot_assess.lot_graffiti,Lot: Graffiti on house/property,Lot
found_compreplace,Foundation: Complete replacement,Foundation
found_cracked,Foundation: Cracked,Foundation
found_partreplace,Foundation: Partial replacement,Foundation
stairs_cracked,Stairs: Cracked/minor repairs needed,Stairs
stairs_majorrepair,Stairs: Major repair needed,Stairs
stairs_repaint,Stairs: Repainting needed,Stairs
